source,year,store,item,price_usd_low,price_usd_high,unit,brand_low,brand_high,note,quality_flag
yjc_index_2026,2026,Associated,Peanut Butter,4.29,,"Jif, 16 oz","Jif, 16 oz",,"Jif (16oz) — different brand, ~same size",brand_tier_differs
yjc_index_2026,2026,Associated,Honey,7.29,,Golden Blossom (12 oz),Golden Blossom (12 oz),,,
yjc_index_2026,2026,Associated,Rice,3.49,,Caronlina (2lb),Caronlina (2lb),,,
yjc_index_2026,2026,Associated,Coffee,13.49,,"Bustelo, 10 oz","Bustelo, 10 oz",,,
yjc_index_2026,2026,Associated,Black Beans,1.69,,"Goya, 1 standard can","Goya, 1 standard can",,,
yjc_index_2026,2026,Associated,Milk,9.99,,Organic Vally,Organic Vally,,Half-gallon size not explicitly confirmed,brand_unclear
yjc_index_2026,2026,Associated,Butter,7.99,,Kerrygold 8oz,Kerrygold 8oz,,,
yjc_index_2026,2026,Associated,Cheddar Cheese,5.99,,Cabot (8oz),Cabot (8oz),,,
yjc_index_2026,2026,Associated,Greek yogurt,2.49,,Chobani (5.3 oz),Chobani (5.3 oz),,,
yjc_index_2026,2026,Associated,Tofu,2.99,,House foods,House foods,,,
yjc_index_2026,2026,Associated,Chicken Breast,7.99,,Perdue thin sliced chicken cutlets (per lb),Perdue thin sliced chicken cutlets (per lb),,"Perdue, thin-sliced cutlets",brand_tier_differs
yjc_index_2026,2026,Associated,Beer,12.99,,"Modelo, 6 pack","Modelo, 6 pack",,,
yjc_index_2026,2026,Associated,Ice Cream,5.99,,Hagen-Daz,Hagen-Daz,,,
yjc_index_2026,2026,Associated,Cereal,7.99,,Honey Nut Cheerios (10.8 oz),Honey Nut Cheerios (10.8 oz),,"Honey Nut Cheerios, 10.8oz — different flavor AND a larger box than the 8.9oz plain Cheerios elsewhere",unit_mismatch
yjc_index_2026,2026,Associated,Eggs,5.69,,Sunshine Farms (12 pack),Sunshine Farms (12 pack),,,
yjc_index_2026,2026,Billy's Marketplace,Apples,1.99,1.99,"Store brand, per lb","Store brand, per lb",,"Just ""store brand"" — variety not recorded",brand_unclear
yjc_index_2026,2026,Billy's Marketplace,Bananas,0.79,,"Chiquitas, per lb","Chiquitas, per lb",,,
yjc_index_2026,2026,Billy's Marketplace,Tomatoes,2.49,,On the vine,On the vine,,"Just ""USA"" — variety not recorded",brand_unclear
yjc_index_2026,2026,Billy's Marketplace,Kale,2.0,,"store brand (by bunch, weight around .45lb)","store brand (by bunch, weight around .45lb)",,"Priced by the bunch, not per lb — not directly comparable",unit_mismatch
yjc_index_2026,2026,Billy's Marketplace,Spinach,4.69,,Olivia organic,Olivia organic,,Bag size not recorded,brand_unclear
yjc_index_2026,2026,Billy's Marketplace,Bread,3.49,,Wonder Bread (20oz),Wonder Bread (20oz),,,
yjc_index_2026,2026,Billy's Marketplace,Peanut Butter,3.5,,Jif (16oz),Jif (16oz),,"Jif (16oz) — different brand, ~same size",brand_tier_differs
yjc_index_2026,2026,Billy's Marketplace,Honey,8.29,,Golden Blossom (12oz),Golden Blossom (12oz),,,
yjc_index_2026,2026,Billy's Marketplace,Rice,3.49,,Caronlina (2lb),Caronlina (2lb),,,
yjc_index_2026,2026,Billy's Marketplace,Coffee,11.99,,"Cafe Bustelo, 10 oz","Cafe Bustelo, 10 oz",,,
yjc_index_2026,2026,Billy's Marketplace,Black Beans,1.67,1.69,Goya,Goya,,sale: 3 for $5,sale_price
yjc_index_2026,2026,Billy's Marketplace,Milk,8.49,,Organic Valley,Organic Valley,,Half-gallon size not explicitly confirmed,brand_unclear
yjc_index_2026,2026,Billy's Marketplace,Butter,7.99,,Kerrygold (2 stick),Kerrygold (2 stick),,,
yjc_index_2026,2026,Billy's Marketplace,Cheddar Cheese,6.19,,Cabot,Cabot,,Size not recorded,brand_unclear
yjc_index_2026,2026,Billy's Marketplace,Greek yogurt,2.49,,Chobani,Chobani,,Cup size not recorded,brand_unclear
yjc_index_2026,2026,Billy's Marketplace,Tofu,,,,,,Not available / not recorded at this store,not_carried_or_unpriced
yjc_index_2026,2026,Billy's Marketplace,Chicken Breast,6.49,,Chicken breast thin sliced (per lb),Chicken breast thin sliced (per lb),,"Perdue, thin-sliced",brand_tier_differs
yjc_index_2026,2026,Billy's Marketplace,Beer,10.99,11.99,"Modelo, 6 pack","Modelo, 6 pack",,,sale_price
yjc_index_2026,2026,Billy's Marketplace,Ice Cream,8.19,,Ben&Jerrys,Ben&Jerrys,,Breyers — a lower-tier brand than Häagen-Dazs,brand_tier_differs
yjc_index_2026,2026,Billy's Marketplace,Cereal,6.99,,Cheerios (8.9oz),Cheerios (8.9oz),,,
yjc_index_2026,2026,Billy's Marketplace,Eggs,1.67,2.79,Sunshine Farms,Sunshine Farms,,sale: 3 for 5,sale_price
yjc_index_2026,2026,Brooklyn's Natural,Apples,2.49,,"Gala- USA, per lb","Gala- USA, per lb",,,
yjc_index_2026,2026,Brooklyn's Natural,Bananas,0.99,,"Chiquitas, per lb","Chiquitas, per lb",,,
yjc_index_2026,2026,Brooklyn's Natural,Tomatoes,4.99,,"stem tomato, per lb","stem tomato, per lb",,"Stem tomatoes, not on-the-vine",brand_tier_differs
yjc_index_2026,2026,Brooklyn's Natural,Kale,2.49,,"USA, per bunch","USA, per bunch",,"Priced per bunch (USA), not per lb — not directly comparable",unit_mismatch
yjc_index_2026,2026,Brooklyn's Natural,Spinach,4.79,,Organic Girl,Organic Girl,,,
yjc_index_2026,2026,Brooklyn's Natural,Bread,4.99,,Bakery of New York,Bakery of New York,,"Bakery of New York — artisan loaf, not mass-market sandwich bread; size not recorded",brand_tier_differs
